brand,source_video,out_file,codec,dur_s,status
NOMAD-1245,NOMAD-1245 - Super Cassette - Invincibility Star/Super Cassette - Invincibility Star (With Vocals).mov,NOMAD-1245 - Super Cassette - Invincibility Star.flac,flac,158.4,ok
NOMAD-1246,NOMAD-1246 - novo amor - Vantablack/novo amor - Vantablack (With Vocals).mov,NOMAD-1246 - novo amor - Vantablack.flac,flac,255.5,ok
NOMAD-1248,NOMAD-1248 - Eyehategod - Medicine noose/Eyehategod - Medicine noose (With Vocals).mov,NOMAD-1248 - Eyehategod - Medicine noose.flac,flac,220.0,ok
NOMAD-1249,NOMAD-1249 - Eyehategod - Agitation! Propaganda!/Eyehategod - Agitation! Propaganda! (With Vocals).mov,NOMAD-1249 - Eyehategod - Agitation! Propaganda!.flac,flac,142.4,ok
NOMAD-1250,NOMAD-1250 - Eyehategod - Shoplift/Eyehategod - Shoplift (With Vocals).mov,NOMAD-1250 - Eyehategod - Shoplift.flac,flac,206.5,ok
NOMAD-1251,NOMAD-1251 - Phil Collins & Amy Keys - Separate Lives (Live In Paris 2004)/Phil Collins & Amy Keys - Separate Lives (Live In Paris 2004) (With Vocals).mov,NOMAD-1251 - Phil Collins & Amy Keys - Separate Lives (Live In Paris 2004).flac,flac,351.6,ok
NOMAD-1252,NOMAD-1252 - Yarbrough And Peoples - Guilty/Yarbrough And Peoples - Guilty (With Vocals).mov,NOMAD-1252 - Yarbrough And Peoples - Guilty.flac,flac,366.2,ok
NOMAD-1253,NOMAD-1253 - Social Distortion - 1945 (13th Floor Version)/Social Distortion - 1945 (13th Floor Version) (With Vocals).mov,NOMAD-1253 - Social Distortion - 1945 (13th Floor Version).flac,flac,125.1,ok
NOMAD-1254,"NOMAD-1254 - Dawid Podsiadło, P.T. Adamczyk - Phantom Liberty/Dawid Podsiadło, P.T. Adamczyk - Phantom Liberty (With Vocals).mov","NOMAD-1254 - Dawid Podsiadło, P.T. Adamczyk - Phantom Liberty.flac",flac,349.6,ok
NOMAD-1257,NOMAD-1257 - Eyehategod - Blank/Eyehategod - Blank (With Vocals).mov,NOMAD-1257 - Eyehategod - Blank.flac,flac,439.1,ok
NOMAD-1264,NOMAD-1264 - The Swirling Eddies - Pyro Sets a Wildfire/The Swirling Eddies - Pyro Sets a Wildfire (With Vocals).mov,NOMAD-1264 - The Swirling Eddies - Pyro Sets a Wildfire.flac,flac,285.2,ok
NOMAD-1335,NOMAD-1335 - Đâu Phải Cho Anh (Toan2k8 Remix) - karaoke - Phát Lee/Đâu Phải Cho Anh (Toan2k8 Remix) - karaoke - Phát Lee (With Vocals).mp4,NOMAD-1335 - Đâu Phải Cho Anh (Toan2k8 Remix) - karaoke - Phát Lee.flac,flac,235.2,ok
NOMAD-1402,NOMAD-1402 - The Ants Go Marching - PINKFONG Mother Goose Karaoke/The Ants Go Marching - PINKFONG Mother Goose Karaoke (With Vocals).mp4,NOMAD-1402 - The Ants Go Marching - PINKFONG Mother Goose Karaoke.flac,flac,171.4,ok
